Date,Visitor,G,Home,G,,Att.,LOG,Notes
2013-02-22,San Jose Sharks,1,Chicago Blackhawks,2,,"21,670",,
2013-02-22,Vancouver Canucks,1,Nashville Predators,0,,"17,113",,
2013-02-22,Florida Panthers,1,Pittsburgh Penguins,3,,"18,655",,
2013-02-23,New York Islanders,4,Buffalo Sabres,0,,"19,070",,
2013-02-23,Tampa Bay Lightning,5,Carolina Hurricanes,2,,"18,680",,
2013-02-23,Minnesota Wild,1,Calgary Flames,3,,"19,289",,
2013-02-23,San Jose Sharks,1,Dallas Stars,3,,"18,584",,
2013-02-23,Nashville Predators,0,Detroit Red Wings,4,,"20,066",,
2013-02-23,Phoenix Coyotes,2,Edmonton Oilers,3,SO,"16,839",,
2013-02-23,Colorado Avalanche,1,Los Angeles Kings,4,,"18,118",,
2013-02-23,New York Rangers,0,Montreal Canadiens,3,,"21,273",,
2013-02-23,Toronto Maple Leafs,2,Ottawa Senators,3,,"19,499",,
2013-02-23,Winnipeg Jets,3,Philadelphia Flyers,5,,"19,933",,
2013-02-23,Columbus Blue Jackets,1,St. Louis Blues,2,,"19,457",,
2013-02-23,New Jersey Devils,1,Washington Capitals,5,,"18,506",,
2013-02-24,Colorado Avalanche,3,Anaheim Ducks,4,OT,"17,174",,
2013-02-24,Phoenix Coyotes,4,Calgary Flames,5,,"19,289",,
2013-02-24,Columbus Blue Jackets,0,Chicago Blackhawks,1,,"21,580",,
2013-02-24,Vancouver Canucks,3,Detroit Red Wings,8,,"20,066",,
2013-02-24,Boston Bruins,4,Florida Panthers,1,,"18,108",,
2013-02-24,Winnipeg Jets,4,New Jersey Devils,2,,"17,625",,
2013-02-24,Carolina Hurricanes,4,New York Islanders,2,,"10,048",,
2013-02-24,Tampa Bay Lightning,3,Pittsburgh Penguins,5,,"18,632",,
2013-02-25,Edmonton Oilers,2,Chicago Blackhawks,3,OT,"21,127",,
2013-02-25,Anaheim Ducks,2,Los Angeles Kings,5,,"18,118",,
2013-02-25,Dallas Stars,4,Nashville Predators,5,OT,"17,113",,
2013-02-25,Montreal Canadiens,1,Ottawa Senators,2,SO,"19,218",,
2013-02-25,Toronto Maple Leafs,4,Philadelphia Flyers,2,,"19,645",,
2013-02-26,Dallas Stars,5,Columbus Blue Jackets,4,OT,"11,523",,
2013-02-26,Pittsburgh Penguins,4,Florida Panthers,6,,"17,378",,
2013-02-26,Calgary Flames,1,Minnesota Wild,2,OT,"18,703",,
2013-02-26,Boston Bruins,4,New York Islanders,1,,"12,788",,
2013-02-26,Winnipeg Jets,4,New York Rangers,3,,"17,200",,
2013-02-26,Colorado Avalanche,2,San Jose Sharks,3,SO,"17,562",,
2013-02-26,Buffalo Sabres,2,Tampa Bay Lightning,1,,"19,204",,
2013-02-26,Phoenix Coyotes,4,Vancouver Canucks,2,,"18,910",,
2013-02-26,Carolina Hurricanes,0,Washington Capitals,3,,"18,506",,
2013-02-27,Nashville Predators,1,Anaheim Ducks,5,,"13,630",,
2013-02-27,Detroit Red Wings,1,Los Angeles Kings,2,,"18,118",,
2013-02-27,Washington Capitals,1,Philadelphia Flyers,4,,"19,904",,
